variable,display_label,Development A0,Development A1,Development A2,Development A3,External A0,External A1,External A2,External A3
af_flag,Atrial fibrillation history,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]"
age,Age,"59.00 [50.00, 68.00]","56.00 [49.00, 64.50]","65.00 [56.00, 74.00]","72.00 [63.00, 80.00]","64.00 [55.00, 73.00]","58.00 [50.00, 68.00]","64.00 [55.00, 73.00]","71.00 [62.00, 79.00]"
baseline_creatinine,Baseline creatinine,"0.80 [0.60, 1.02]","0.80 [0.70, 1.00]","0.80 [0.70, 1.00]","1.20 [0.80, 1.90]","0.93 [0.75, 1.14]","0.95 [0.80, 1.17]","0.98 [0.80, 1.21]","1.30 [0.97, 2.10]"
bmi_or_proxy,BMI or proxy,"21.70 [19.65, 23.60]","28.60 [25.80, 32.95]","28.50 [25.20, 32.40]","27.50 [24.10, 32.20]","22.75 [20.88, 24.01]","29.76 [27.31, 33.51]","28.98 [25.66, 33.49]","28.35 [24.34, 33.38]"
diabetes_flag,Diabetes,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]"
glucose,Glucose,"132.00 [112.00, 178.00]","131.00 [112.50, 156.50]","141.00 [117.00, 190.00]","157.00 [125.00, 221.00]","123.00 [105.00, 149.00]","126.00 [107.00, 154.00]","143.00 [115.00, 203.50]","146.00 [113.00, 210.00]"
hf_flag,Heart failure history,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","1.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","1.00 [0.00, 1.00]"
hyperlipidemia_flag,Hyperlipidemia,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]"
hypertension_flag,Hypertension,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [0.00, 1.00]"
in_hospital_mortality,in_hospital_mortality,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]"
renal_history_flag,Renal history,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]"
sbp,Systolic blood pressure,"110.10 [102.98, 118.17]","112.71 [105.73, 117.62]","114.00 [106.36, 123.20]","112.40 [104.50, 123.13]","120.00 [105.00, 135.00]","122.00 [110.00, 137.00]","126.00 [111.00, 144.00]","121.00 [105.00, 141.00]"
sex,Female sex,M: 198 (64.3%),M: 29 (67.4%),M: 1036 (68.1%),M: 3243 (62.2%),Male: 524 (63.9%),Male: 1022 (72.2%),Male: 1973 (65.3%),Male: 1819 (58.8%)
stemi_flag,stemi_flag,"1.00 [0.00, 1.00]","1.00 [1.00, 1.00]","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
stroke_pad_flag,Stroke or PAD history,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]"
